avg color red,avg color green,avg color blue,entropy of red,entropy of green,entropy of blue,avg entropy,width,height,aspect ratio,area,size,compression ratio,bit depth,total pixels,hue,saturation,value,hue median,saturation median,value median,output
55.45956089,74.69975605,97.14768249,7.705198931,7.314060307,6.995796211,7.338351816,73,73,1,5329,4041,0.758303622,24,5329,0.334381283,0.608684495,0.41171025,0.158333333,0.62,0.380392157,1
101.7395782,110.7694626,123.5890255,7.680083087,7.437561184,7.495123458,7.537589243,1024,512,2,524288,99576,0.189926147,24,524288,0.268168546,0.306101572,0.530165227,0.12,0.215053763,0.545098039,1
218.6419591,214.6098705,226.3803716,5.94500115,6.201177425,6.045214441,6.063797672,73,73,1,5329,2795,0.524488647,24,5329,0.446094628,0.062023392,0.891274896,0.2,0.023041475,0.894117647,1
209.6664528,212.2889174,221.701409,3.773473972,3.809223188,3.771413243,3.784703468,1200,1200,1,1440000,90792,0.06305,24,1440000,0.391499808,0.183843947,0.905509458,0.611111111,0.012931034,0.909803922,1
141.6065724,145.6465904,152.9774126,7.201532157,7.157404812,7.249278139,7.202738369,1080,1080,1,1166400,159849,0.137044753,24,1166400,0.546307886,0.148567769,0.61346919,0.5,0.082051282,0.71372549,1
149.5778729,145.3450146,133.8946433,7.826331774,7.805346907,7.764150687,7.798609789,1080,1080,1,1166400,257226,0.220529835,24,1166400,0.371002492,0.304788935,0.654746345,0.416666667,0.233333333,0.760784314,1
54.43968981,57.95356574,66.91384259,7.334626285,7.139093722,6.92426629,7.132662099,900,1200,0.75,1080000,189703,0.175650926,24,1080000,0.407929192,0.362129127,0.285208301,0.484126984,0.333333333,0.184313725,1
96.21534636,128.4688743,168.3513263,6.735019293,7.479375888,7.461327123,7.225240768,1080,1080,1,1166400,301528,0.25851166,24,1166400,0.378130252,0.560869528,0.688033325,0.128205128,0.579365079,0.878431373,1
98.75374444,106.6545236,117.7622264,7.81042398,7.63440386,7.606157145,7.683661661,1200,1200,1,1440000,203329,0.141200694,24,1440000,0.192862622,0.290856526,0.485325599,0.101626016,0.211111111,0.450980392,1
161.1522065,163.8773549,165.3746874,7.279766337,7.439749061,7.529899536,7.416471645,749,749,1,561001,80362,0.143247516,24,561001,0.430704946,0.199489037,0.683121413,0.5,0.080357143,0.835294118,1
62.91111454,105.3670748,232.3006696,3.798807993,4.426906301,4.672248676,4.29932099,1080,1080,1,1166400,153885,0.131931584,24,1166400,0.096233203,0.73823022,0.913182334,0.055841924,0.825726141,0.901960784,1
151.2751519,150.751173,159.7232227,7.291036755,7.434674838,7.443908462,7.389873352,960,960,1,921600,129489,0.140504557,24,921600,0.492531698,0.151925368,0.657888059,0.607843137,0.076576577,0.780392157,1
183.8468648,189.1507571,197.3645262,5.63121655,5.731799576,5.698621108,5.687212411,786,1024,0.767578125,804864,201384,0.250208731,24,804864,0.258234289,0.193203328,0.802626745,0.078703704,0.051886792,0.956862745,1
190.0804492,171.1365365,202.5257758,6.90233531,7.632525613,7.351352656,7.295404526,960,960,1,921600,240833,0.26132053,24,921600,0.829654276,0.194701842,0.794616358,0.899122807,0.139830508,0.88627451,1
